period,Annually – (Percentage of GDP at current prices (excessive deficit procedure)) – Germany (AMECO/UDGG/DEU.1.0.319.0.UDGG),Annually – (Percentage of GDP at current prices (excessive deficit procedure)) – Spain (AMECO/UDGG/ESP.1.0.319.0.UDGG),Annually – (Percentage of GDP at current prices (excessive deficit procedure)) – France (AMECO/UDGG/FRA.1.0.319.0.UDGG),Annually – (Percentage of GDP at current prices (excessive deficit procedure)) – Italy (AMECO/UDGG/ITA.1.0.319.0.UDGG)
1960,,,,31.7953
1961,,,,29.9336
1962,,,,28.7905
1963,,,,26.8476
1964,,,,26.6785
1965,,,,27.7109
1966,,,,32.3737
1967,,,,31.9473
1968,,,,34.3091
1969,,,,34.9216
1970,,,,35.859
1971,,,,40.5092
1972,,,,46.0121
1973,,,,48.923
1974,,,,48.6237
1975,,,,54.8685
1976,,,,54.5603
1977,,,,53.6002
1978,,,,57.6457
1979,,,,56.4597
1980,,,,54.3916
1981,,,,56.6595
1982,,,,61.174
1983,,,,67.1804
1984,,,,72.4632
1985,,,,78.2133
1986,,,,82.1399
1987,,,,85.8799
1988,,,,87.4355
1989,,,,89.7488
1990,,,,91.5863
1991,,,,94.7558
1992,,,,101.3048
1993,,,,110.9738
1994,,,,116.8863
1995,54.9024,61.5424,57.5929,119.3622
1996,57.7939,65.4076,60.3374,119.1093
1997,58.8666,64.2495,61.8342,116.7821
1998,59.5347,62.306,61.8435,114.1269
1999,60.3874,60.8039,61.1666,113.2895
2000,59.3398,57.8153,59.5167,109.0258
2001,58.193,54.0495,59.0088,108.8863
2002,59.9458,51.2499,60.8896,106.3605
2003,63.5383,47.7117,65.029,105.4946
2004,65.2009,45.3655,66.5689,105.1009
2005,67.5463,42.4302,68.0371,106.5575
2006,66.8871,39.0639,65.3254,106.7398
2007,64.1583,35.7646,65.3593,103.8902
2008,65.6816,39.712,69.7358,106.167
2009,73.1566,53.2613,84.0304,116.6155
2010,81.9947,60.5153,86.3119,119.208
2011,79.4172,69.8504,88.912,119.7072
2012,80.7451,89.9825,91.7192,126.5107
2013,78.3224,100.4877,94.687,132.4748
2014,75.2791,105.0588,96.3165,135.3842
2015,71.9465,103.2993,97.0724,135.299
2016,68.9547,102.7485,98.0251,134.804
2017,65.2042,101.7996,98.4852,134.1838
2018,61.9137,100.4155,98.1581,134.4695
2019,59.5804,98.221,97.8872,134.191
2020,68.773,120.2658,114.8532,154.9537
2021,68.9861,116.8408,112.9733,147.127
2022,66.0769,111.618,111.9182,140.5217
2023,63.6391,107.6521,110.6433,137.3104
2024,62.9344,105.5079,112.4088,138.6244
2025,62.1991,104.829,113.8249,141.6909
